framenr,kanji,keyword,public,last_edited,story
41,舌,"tongue",0,2016-11-30 05:24:53,"What is in a *mouth* (*{口}*) that permits it to speak a *thousand* (*{千}*) things? Yes, a #tongue#."
42,升,"measuring box",0,2012-05-08 09:52:50,"It is a *thousand* or *ten*? I need my #measuring box#."
43,昇,"rise up",0,2020-11-10 02:56:18,"See the *sun* (*{日}*) rise up by using a *measuring box* (*{升}*)."
44,丸,"round",0,2024-02-23 14:44:36,"*nine* (*{九}*) plus a drop (*{丶}*) rounds it off to *{十}*!"
45,寸,"measurement",0,2012-11-06 15:25:23,"The decimal system uses *drops* of *ten* as a measurement."
46,専,"specialty",0,2025-02-10 09:49:34,"After you have chosen your *10* (*{十}*) *fields* (*{田}*) of study, *measure* (*{寸}*) how good you are at each to find out your specialty."
47,博,"Dr.",0,2020-10-27 16:39:19,"*Ten* (*{十}*) *specialties* (*{専}*) grants you the title of Dr. with a drop (丶)."
48,占,"fortune-telling",0,2025-02-15 16:23:11,"Fortune-telling: using a mouth as a divining rod."
49,上,"above",0,2025-02-15 16:23:21,"A plant is above the ground."
50,下,"below",0,2025-02-15 16:23:27,"Roots are below the ground"
51,卓,"eminent",0,2022-08-29 16:03:26,"The most #eminent# magician is he who learned to use his *magic wand* (*{卜}*) *early* (*{早}*) in life."
52,朝,"morning",0,2024-02-21 07:20:03,"In the morning, god picks the *sun* up to the sky with two *needles* (because it's too hot to touch by hands) to replace the *moon*."
53,只,"only",0,2025-02-15 16:24:22,"Imagine an animal with only a *mouth* and *leg*s."
54,貝,"shellfish",0,2025-02-15 16:24:30,"una conchiglia è un occhio con le gambe"
55,貞,"upright",0,2012-06-02 08:07:15,"A *magic wand* is needed to make a *shellfish* stand upright."
56,員,"employee",0,2013-03-23 07:40:16,"An employee (#member# of the company) has to clam up his mouth if he wants keep the job!"
57,見,"see",0,2024-02-21 07:20:55,"Eyes and legs are all you need to see the world."
58,児,"newborn babe",0,2023-06-22 01:53:26,"In the *olden times* (*{旧}*), a newborn babe came out *leg*s (*{儿}*) first."
59,元,"beginning",0,2013-01-23 16:14:52,"In the beginning there were just *two* who walked on *human legs*"
60,頁,"page",0,2024-02-21 07:21:34,"A *shellfish* carrying a page balanced on its *head*."
61,頑,"stubborn",0,2017-10-12 00:30:27,"A stubborn person in the *beginning* (*{元}*) gets something into their *head* and can't change their mind."
62,凡,"mediocre",0,2024-02-25 09:21:37,"A *drop* (20022) of breeze is naught but a mediocre *wind* (*{几}*)"
63,負,"defeat",0,2024-02-22 13:55:44,"*Tied up* (*{勹}*), the *shellfish* (*{貝}*) had to accept defeat!"
64,万,"ten thousand",0,2025-02-15 16:24:56,"Ten thousand has 5 digits, which looks like the kanji for it."
65,句,"phrase",0,2024-02-22 13:58:45,"A *bound up* (*{勹}*) *mouth* (*{口}*) cannot utter a single phrase."
66,肌,"texture",0,2020-10-21 07:11:39,"The *moon*'s (*{月}*) lack of *wind* (*{几}*) preserves its texture."
67,旬,"decameron",0,2024-02-22 14:00:16,"Hesig should be *bound* (*{勹}*) for 10 *days* (*{日}*) for calling this Kanji DECAMERON. See {殉}"
68,勺,"ladle",0,2024-02-22 14:01:21,"A ladle can *bind up* (*{勹}*) a drop of (丶)  soup"
69,的,"bull's eye",0,2024-02-22 14:04:44,"I managed to hit the bull's eye by throwing my *white* (*{白}*) *ladle* (*{勺}*)."
70,首,"neck",0,2012-05-05 15:48:53,"metti due segni proprio  dove hai il collo (#neck#)"
71,乙,"fish guts",0,2025-02-15 16:25:23,"""Knife goes in, guts come out"" (-Bart Simpson's mantra as he guts fish in ""30 Minutes Over Tokyo"")."
72,乱,"riot",0,2024-02-23 13:54:40,"A *tongue* (*{舌}*) with a *hook* (*{乚}*) can cause a riot."
73,直,"straightaway",1,2024-02-23 14:20:54,"I caught a *ten* (*{十}*) -*eyed* (*{目}*)  freak  on my fish *hook* (*{乚}*), so I chucked (""ちょくed"") it back straightaway."
74,具,"tool",0,2020-10-16 17:16:14,"Keep an *eye* (*{目}*) on your tools while you work at the *table*."
75,真,"true",0,2020-10-16 17:15:22,"You need at least *10* (*{十}*) *tools* (*{具}*) to become a true craftsman"
76,工,"craft",0,2020-10-31 08:08:15,"I-beams are used to craft skyscrapers."
77,左,"left",0,2025-02-15 16:25:50,"The LEFT *side* of my brain *posesses* the faculties needed for logical *crafts*, like engineering"
78,右,"right",0,2025-02-15 16:26:06,"The right *side* of my brain is for *speaking*."
79,有,"possess",0,2024-02-23 14:23:37,"Possessed by the Earth's gravity, the *moon* (*{月}*) stays by its side."
80,賄,"bribe",0,2024-02-23 14:25:01,"With all these *shellfish* (*{貝}*) in my *possession* (*{有}*) I can bribe anyone."
81,貢,"tribute",0,2024-02-23 14:25:30,"This next song is a tribute to my pet shellfish (*{貝}*) who was crushed by a falling I beam."
82,項,"paragraph",0,2024-02-23 14:26:30,"To write a paragraph is the *craft* (*{工}*) of grouping sentences on a *page* (*{頁}*)."
83,刀,"sword",0,2025-02-15 16:26:31,"This SWORD is so sharp, it cut off the top part of カ off in 刀タナ."
84,刃,"blade",0,2024-02-24 02:38:55,"The part of a *sword* (*{刀}*) where a *drop* (*{丶}*) of blood can usually be found is the blade."
85,切,"cut",0,2017-02-14 14:04:59,"Each of the *seven* (*{七}*) samurai used his *sword* (*{刀}*) to cut an opponent."
86,召,"seduce",0,2024-02-23 14:29:03,"To seduce is to make a *sword* of one's *mouth*."
87,昭,"shining",0,2024-02-23 14:29:33,"Shining is the *sun*'s (*{日}*) *seduction* (*{召}*)."
88,則,"rule",0,2024-02-23 14:30:45,"When you have both *money* (*{貝}*) and the power of the *sword* (*{刂}*), you can make the #rules#."
89,副,"vice-",0,2024-02-23 14:32:19,"The *wealthy* (*{畐}*) guy with the *sword* (*{刂}*): that's the #vice#-roy."
90,別,"separate",0,2024-02-24 02:40:08,"I don't know about you but to me this seems like someone's head is about to be separated from his body by a *sword* (*{刂}*). You can see he's kneeling and his mouth is wide open gasping for the last breath he will ever take."
91,丁,"street",0,2023-03-24 19:22:26,"The street ends at a t-junction."
92,町,"town",0,2025-02-15 16:27:35,"A *rice field* (*{田}*) and a *street* (*{丁}*) makes a town."
93,可,"can",0,2023-08-30 10:28:51,"Can you *speak* (*{口}*) *street* (*{丁}*?"
94,頂,"place on the head",0,2012-05-01 01:30:35,"If I put a *street sign* on my *head* what do I get ?  A #place on the head# !"
95,子,"child",0,2025-02-15 16:28:06,"A child who is *ten* (*{十}*) will still ask for his *ma* (top looks a bit like katakana ma)"
96,孔,"cavity",0,2024-03-09 15:02:29,"I warned him about #cavities#, but the *child* *{子}* is still *hooked* on sweets."
97,了,"complete",0,2024-02-24 02:44:33,"Don't be tempted to write another stroke and make 子. This kanji, 了, is already complete."
98,女,"woman",0,2024-02-24 02:45:49,"To remember the order of strokes, remember a female ninja is called a ""kunoichi"" (くノ一). That is, く(hiragana)  ノ(katakana)  一(kanji, いち=one)."
99,好,"fond",0,2020-11-17 03:18:19,"It's hard to imagine being more fond of something than a *woman* (*{女}*) is of her *child* (*{子}*)."
100,如,"likeness",0,2020-11-05 18:17:15,"*Women* (*{女}*) share a common #likeness#.  Their *mouth*s (*{口}*) are always open."
101,母,"mama",0,2025-02-15 16:29:57,"the sun has two drops called ma & ma"
102,貫,"pierce",0,2020-11-05 18:19:02,"the  *employee* (*{員}*) was fired for pierceing his nose with a needle (*{十}*)."
103,兄,"elder brother",0,2012-07-19 15:55:00,"My elder brother was basically a *mouth* on *human legs* when he was a teenager."
104,克,"overcome",0,2020-11-05 18:20:16,"*Ten* (*{十}*) *elder brothers* (*{兄}*) can overcome anything."
105,小,"little",0,2013-09-08 03:38:12,"A little penguin with its wings at its side."
106,少,"few",0,2024-02-24 02:47:41,"Few usually refers to three. To emphasise three, we underline the three drops in *little* (*{小}*)."
107,大,"large",0,2020-11-05 18:21:07,"A person stretching their arms and legs to look large and scare a bear away."
108,多,"many",0,2020-11-05 18:21:35,"Two *evenings* (*{夕}*) too many!"
109,夕,"evening",0,2024-02-24 02:48:15,"When I come back home from work in the evening I say タダイマ."
110,汐,"eventide",0,2020-11-05 18:23:21,"Eventide is just another word for *evening* (*{夕}*), and it has the word tide in it which we associate with *water* (*{氵}*)."
111,外,"outside",0,2025-02-12 06:42:31,"A young magician likes to practice outside in the *evening* (*{夕}*) with his *magic wand* (*{卜}*)."
112,名,"name",0,2024-02-24 02:49:55,"In the *evening* (*{夕}*), her sweet *mouth* (*{口}*) whispered my name."
113,石,"stone",0,2025-02-12 06:43:00,"a *mouth* {口} open beneath a *cliff* (*{厂}*) is bound to swallow some stone."
114,肖,"resemblance",0,2024-02-24 02:50:51,"This kanji bears a resemblance to sparks on a candle. (I always remember the primitive, but never the original keyword.)"
115,硝,"nitrate",0,2024-02-24 02:52:10,"Salpetre is the common name for Nitrate coming from Latin ""sal petrae"" or *stone* (*{石}*) salt.  It is also a component of gun powder so including a *candle* (*{肖}*) in this kanji can be quite explosive!"
116,砕,"smash",0,2024-02-24 02:53:06,"To smash a *stone* (*{石}*) you need to hit it *nine* (*{九}*) or *ten* (*{十}*) times."
117,砂,"sand",0,2024-02-24 02:53:43,"Here's how I remember that *stone* is on the left. This is because sand starts as *stones* (*{石}*), and only later they become *few* (*{少}*)."
118,削,"plane",0,2024-02-24 02:55:19,"The carpenter's plane *resembles* (*{肖}*) a *saber* (*{刂}*)."
119,光,"ray",0,2024-02-24 02:57:08,"#Ray# is *little* (*{小}*) *legs* (*{儿}*) of *light*..."
120,太,"plump",0,2024-02-24 02:57:58,"A *large* (*{大}*) person with a big *drop* (*{丶}*) of sweat dripping off of him because he is so plump."
121,器,"utensil",0,2024-02-25 08:40:23,"Imagine four hungry *mouths* (*{口}*) all sitting around the table.  They are all banging their #utensils# on the table waiting for a *large* (*{大}*) meal to be placed in the centre."
122,臭,"stinking",0,2024-02-25 08:42:42,"*I* (*{自}*) have just done a *large* (*{大}*) one.  It`s really #stinking#."
123,妙,"exquisite",0,2020-10-16 03:34:19,"exquisite *women* (*{女}*) are *few* (*{少}*) and far between."
124,省,"focus",0,2024-02-25 08:43:43,"You #focus# by putting *few*er (*{少}*) things on your *eye* (*{目}*)."
125,厚,"thick",0,2024-02-25 08:51:45,"The #thick# *cliff* (*{厂}*)  walls protected the *children* (*{子}*) from the *sun* (*{日}*)."
126,奇,"strange",0,2022-07-07 09:20:12,"*Large* (*{大}*) things *can* (*{可}*) be strange."
127,川,"stream",0,2012-05-06 11:01:08,"There are *three* default I/O #streams# in UNIX: stdin, stdout and stderr."
128,州,"state",0,2024-02-25 08:52:58,"There were 3 *little* (*{小}*)  islands in the *stream* (*{川}*) who all decided to set themselves up as independent #states#."
129,順,"obey",0,2024-02-25 08:53:36,"Obey the orders *stream*ing (*{川}*) down from *head* (*{頁}*) office."
130,水,"water",0,2024-02-25 08:54:24,"It costs *7* *K* to buy a large amount of #water#."
131,氷,"icicle",0,2024-02-25 08:54:59,"#Icicle#s start with 1 frozen *drop* (*{丶}*) of *water* (*{水}*)."
132,永,"eternity",0,2024-02-25 08:55:26,"it would take an eternity to count every *one* of these *droplets* (*{丶}*) in the *water* (*{水}*)."
133,泉,"spring",0,2020-11-10 02:17:50,"A #spring# is *white* (*{白}*) *water* (*{水}*)."
134,原,"meadow",0,2020-11-10 01:55:58,"Under the *cliff* (*{厂}*) you will find a *little* (*{小}*), *white* (*{白}*) MEADOW"
135,願,"petition",0,2024-02-25 08:56:16,"Let's petition to save that beautiful *meadow* (*{原}*) from over-development by signing on this *page* (*{頁}*)."
136,泳,"swim",0,2024-02-25 08:56:59,"If you don't know how to swim, you'll be in that *water* (*{氵}*) for an *eternity* (*{永}*)."
137,沼,"marsh",0,2024-02-25 08:57:34,"A marsh is where *water* (*{氵}*) is *seduced* (*{召}*) into the ground."
138,沖,"open sea",0,2024-02-25 08:58:08,"*Water* (*{氵}*) in the *middle* (*{中}*) of the ocean is referred to as open sea."
139,江,"creek",0,2020-10-31 08:06:58,"A creek is a small trail of *water* (*{氵}*) easily *craft*ed (*{工}*) with a stick."
140,汁,"soup",0,2024-02-25 08:58:41,"To make soup you just take *water* (*{氵}*) and *add* *ten* (*{十}*) tasty ingredients."
141,潮,"tide",0,2024-02-25 08:59:01,"#Tide# is *water* (*{氵}*) in the *morning* (*{朝}*)."
142,源,"source",0,2024-02-25 08:59:35,"The *water* (*{氵}*) that flows from the *meadow* (*{原}*) is the #source# of life for the wild antelope."
143,活,"lively",0,2024-02-25 09:00:11,"Even a few drops of *water* (*{氵}*) on my *tongue* (*{舌}*) would make me feel more lively."
144,消,"extinguish",0,2024-02-25 09:01:14,"If you see something that *resembles* (*{肖}*)  fire, throw *water* (*{氵}*)  at it to extinguish it!"
145,況,"but of course",0,2024-02-25 09:01:58,"If you ask your *elder brother* (*{兄}*) if what he's drinking is *water* (*{氵}*) (and not Vodka), he will answer ""#but of course#""."
146,河,"river",0,2024-02-25 09:02:30,"Only *water* (*{氵}*) a #river# *can* (*{可}*) make."
147,泊,"overnight",0,2024-02-25 09:02:57,"Please supply a guest who stays overnight with *water* (*{氵}*) and *white* (*{白}*) sheets."
148,湖,"lake",0,2024-02-25 09:03:30,"*Water* (*{氵}*) reflects the *old* (*{古}*) *moon* (*{月}*) in the lake."
149,測,"fathom",0,2024-02-25 09:03:47,"A #fathom# is the unit you use when checking *water*'s (*{氵}*) depth with a *rule* (*{則}*)."
150,土,"soil",0,2024-02-25 09:04:09,"Soil is neither positive nor negative."
151,吐,"spit",0,2024-02-25 09:04:41,"Spit goes from my *mouth* (*{口}*) to the *ground* (*{土}*)."
152,圧,"pressure",0,2020-09-25 07:29:04,"The *soil* (*{土}*) at the base of a *cliff* (*{厂}*) must suffer from enormous pressure."
153,埼,"cape",0,2024-02-27 02:22:17,"This refers to *land* (*{土}*) (e.g. Cape of Good Hope), not the *strange* (*{奇}*) gear superheroes wear."
154,垣,"hedge",0,2023-08-04 11:02:56,"Before the Great Wall of China, there was a soil (*{土}*) hedge that *span*ned (*{亘}* ) across."
155,圭,"squared jewel",0,2020-10-20 18:23:58,"Diamonds (can be fashioned into a #SQUARED JEWEL#) are made under pressure. In this case the pressure of a lot of *soil* (*{土}*)."
156,封,"seal",0,2024-02-27 02:24:26,"*Squared jewels* (*{圭}*) with the right *measure*ments (*{寸}*) receive the jeweler's  #seal# of approval."
157,涯,"horizon",0,2024-02-27 02:25:27,"From the *water* (*{氵}*), I can see the *ivy*-clad-*cliffs* (*{厂}*) on the horizon."
158,寺,"Buddhist temple",0,2024-02-27 02:26:02,"To be allowed to join the Buddhist temple, imagine an aspiring monk being asked to stand still in the *soil* (*{土}*) for a long time in a *measurement* (*{寸}*) of his resolve."
159,時,"time",0,2024-02-27 02:26:36,"You can spend an entire *day* (*{日}*)  in the *Buddhist temple* (*{寺}*), contemplating time."
160,均,"level",0,2024-02-27 02:27:26,"*Soil* (*{土}*) is scooped up into a *ladle* (*{勺}*). The extra *drop* (*{丶}*) is brushed off to make it level."
161,火,"fire",0,2024-02-27 02:28:14,"For some reason, this kanji reminds me of a person (*{人}*) running, her arms (the two drops (*{丶}*)) raised up,  because she caught on fire!"
162,炎,"inflammation",0,2024-02-27 02:28:38,"To fight *fire* (*{火}*) with *fire* would just #inflame# a situation."
163,煩,"anxiety",0,2020-10-10 18:15:57,"Imagine the #anxiety# a librarian would feel seeing *fire* (*{火}*) near the *pages* (*{頁}*) of the books."
164,淡,"thin",0,2021-05-08 17:18:39,"drink *water* (*{氵}*) and *burn (*{火}*) twice* as many calories as you eat ... you'll definitely get #thin#."
165,灯,"lamp",0,2020-09-02 04:49:34,"A lamp is *fire* (*{火}*) you can hang from a nail in the *street* (*{丁}*)."
166,畑,"farm",0,2012-05-08 09:56:15,"Create a #farm# by setting *FIRE* to the *FIELDS*.

(Remember, *fire* NOT *burning flames*)"
167,災,"disaster",0,2024-02-27 02:30:46,"What a disaster! First a *fire* (*{火}*), then on top of it came *floods* (*{巛}*)."
168,灰,"ashes",0,2024-02-27 02:31:18,"The *fire* (*{火}*) underneath the *cliff* (*{厂}*) will eventually turn everything above to ashes."
169,点,"spot",0,2024-02-27 02:32:30,"The *fortune teller* (*{占}*) was burned by *flames* (*{灬}*) on the spot because she was accused of being a witch."
170,照,"illuminate",0,2024-02-27 02:33:08,"*shining* *({昭})* *flames* (*{灬}*) #illuminate#!"
171,魚,"fish",0,2024-02-27 02:36:13,"When I think of *bound up* (*{勹}*)  rice (*{田}*) with *fire below* (*{灬}*) - i.e. cooked, it makes me think of sushi, which in turn brings to mind fish."
172,漁,"fishing",0,2024-02-27 02:36:52,"You need *water* (*{氵}*) and *fish* (*{魚}*) for fishing."
173,里,"ri",0,2024-02-27 02:37:30,"The ri is a Japanese way of measuring the area of the *soil* (*{土}*) underneath a *rice field* (*{田}*)."
174,黒,"black",0,2024-02-27 02:38:02,"*computer* (*{里}*) on *fire* (*{灬}*) went #black#"
175,墨,"black ink",0,2024-02-27 02:38:36,"Black ink comes from *black* (*{黒}*) *soil* (*{土}*)."
176,鯉,"carp",0,2016-10-27 16:11:29,"Japanese #carp# are *fish* (*{魚}*) that grow *RI*-ly (*{里}*) big!"
177,量,"quantity",0,2017-10-07 04:24:29,"I did such a #quantity# of work that when *NIGHT BREAK* (*{旦}*) came, I was asleep on the *COMPUTER* (*{里}*)."
178,厘,"rin",0,2013-06-04 02:07:13,"I threw my Rindows *computer* off a *cliff* because it kept crashing. Now, after its last crash, it's worth less than a rin."
179,埋,"bury",0,2012-05-04 07:28:26,"I put *SOIL* over my *COMPUTER* to #bury# it."
180,同,"same",0,2024-03-12 17:31:18,"Imagine monks wandering around the monastery.  Covered in their *hoods* (*{冂}*) and chanting as if with *one* (*{一}*) *mouth* (*{口}*) they all look the same !"
181,洞,"den",0,2020-10-30 19:32:24,"All the animals in the den share the *same* (*{同}*) *water* (*{氵}*)."
182,胴,"trunk",0,2024-03-12 17:32:01,"When you chop off everything but the trunk. All the dead *flesh* looks the *same* (*{同}*)."
183,向,"yonder",0,2025-02-15 15:07:11,"The astronaut died screaming, his *mouth* (*{口}*) wide open, as the last *drop* (*{丶}*) of oxygen escaped his *space helmet* (*{冂}*), fading into the wild, blue #yonder#."
184,尚,"esteem",0,2025-02-15 15:07:55,"An especially esteemed alien has three antennae on his *helmet* (*{冂}*)."
185,字,"character",0,2024-03-12 17:33:40,"*Children* (*{子}*) learn Kanji characters underneath a *house* (*{宀}*)."
186,守,"guard",0,2024-03-12 17:34:50,"A guard provides a *measure* (*{寸}*) of security to those under a *roof* (*{宀}*)."
187,完,"perfect",0,2024-03-12 17:35:53,"Upon entering a Japanese *home* (*{宀}*), make the perfect impression in the *beginning* (*{元}*) by removing your shoes ."
188,宣,"proclaim",0,2020-11-12 10:35:01,"You can proclaim your opinions from the comfort of your *house* (*{宀}*) and have it *span* (*{亘}*) the entire globe these days via The Internet."
189,宵,"wee hours",0,2012-05-06 11:02:26,"In my *house* I burn the *candle* until the #wee hours# reviewing the kanji!"
190,安,"relax",0,2024-03-12 17:36:36,"You can only relax, when under the *roof* (*{宀}*) you have a *woman* (*{女}*) to do all chores."
191,宴,"banquet",0,2023-05-06 15:50:34,"In the *house* (*{宀}*), all *day* (*{日}*) the *woman* (*{女}*) prepared the #banquet#"
192,寄,"draw near",0,2013-01-10 16:22:33,"If something in your *house* is really *strange*, your neighbours will draw near."
193,富,"wealth",0,2025-02-15 15:09:50,"A *rice field* is a unit of #wealth# as it can produce enough to feed all the *mouth*s in *one* *house*. (Also see *{畐}*)"
194,貯,"savings",0,2021-01-15 03:26:13,"It takes a lot more than one *clam* (*{貝}*) of savings to buy a *house* (*{宀}*) on a *street* (*{丁}*)."
195,木,"tree",0,2025-02-15 16:31:17,"Pictograph of a tree."
196,林,"grove",0,2025-02-15 15:10:45,"A grove has at least two *trees* (*{木}*)."
197,森,"forest",0,2024-03-13 08:25:20,"Another *tree* (*{木}*) planted within a *grove* (*{林}*) turns it into a forest."
198,桂,"Japanese Judas-tree",0,2012-05-01 01:39:55,"A *tree* covered in poison *ivy* will quickly betray you, thus the name #JAPANESE JUDAS-TREE#"
199,柏,"oak",0,2024-03-13 08:26:39,"An #oak# *tree* (*{木}*) is *white* (*{白}*), from left to right!"
200,枠,"frame",0,2012-05-01 01:41:15,"A #frame# is *wood* at *90* [9 * 10] degrees."
201,梢,"treetops",0,2024-03-18 17:41:31,"To the right of the *tree* (*{木}*) stands a gigantic *candle* (*{肖}*), the flame rising higher than the treetops."
202,棚,"shelf",0,2024-03-18 17:42:12,"A shelf is a *wooden* (*{木}*) *companion* (*{朋}*) to books."
203,杏,"apricot",0,2020-10-11 18:07:35,"From the *tree* (*{木}*) straight into the *mouth* (*{口}*) is the best way to eat an #apricot#!"
204,桐,"paulownia",0,2020-10-11 18:08:20,"#Paulownia# is a Japanese *tree* (*{木}*) which looks *same* (*{同}*) as any other tree."
205,植,"plant",0,2017-08-23 02:46:25,"A #plant# doesn't become a *tree* (*{木}*) *straightaway* (*{直}*)."
206,枯,"wither",0,2020-10-11 18:09:04,"A *tree* (*{木}*) #wither#s away as it gets *old* (*{古}*)."
207,朴,"crude",0,2012-05-01 01:43:30,"*Wooden* *wands* are the #crudest#."
208,村,"village",0,2012-05-01 01:44:17,"A #town# is just a bunch of *wood* *glued* together."
209,相,"inter-",0,2012-05-02 01:17:33,"The prime minister is having #inter#-course behind that *tree*! All you can see are his *eyes*."
210,机,"desk",0,2024-03-18 17:44:19,"My *wooden* (*{木}*) #desk# is so messy, it looks like a strong *wind* (*{几}*) blew my things all over it."
211,本,"book",0,2022-09-24 04:44:43,"*one* (*{一}*) *tree*  (*{木}*) can make many books."
212,札,"tag",0,2024-03-18 17:45:00,"Botanists like to identify *trees* (*{木}*)  by *hooking* (*{乚}*) #tags# on them."
213,暦,"calendar",0,2024-03-18 17:45:59,"Use a #calendar# to count the number of *days* (*{日}*)  it takes to grow *two trees* (*{木}*) under a *cliff* (*{厂}*)."
214,案,"plan",0,2017-07-17 04:00:33,"I #plan# to *relax* (*{安}*) on top of that *tree* (*{木}*)."
215,燥,"parch",0,2020-11-01 11:07:41,"It's been so #parch#ed recently that *fire* (*{火}*) consumes your *furniture* (*{喿}*)."
217,末,"extremity",1,,"Un ALBERO le cui fronde ESTESE hanno raggiunto le ESTREMITA' (★ story by alphador)"
218,沫,"splash",0,2024-03-18 17:48:44,"The *extremity* (*{末}*) of a wave of *water* is the splash."
219,味,"flavor",0,2024-03-14 17:04:00,"To enjoy a food's #flavour# it must be  in one's *mouth* (*{口}*) but *not yet* (*{未}*) swallowed."
220,妹,"younger sister",0,2024-03-18 17:49:26,"My #younger sister# is a *woman* (*{女}*) but *not yet* (*{未}*)  fully grown."
221,朱,"vermilion",0,2012-04-28 07:34:19,"Remember these as a set: The tree (木) is not yet (未) vermilion (朱)."
222,株,"stocks",0,2020-11-01 16:58:30,"Which *tree* (*{木}*) would you buy stocks in? The healthy one on the left, or the one with only one *vermilion* (*{朱}*) leaf remaining on the right?"
223,若,"young",0,2024-03-18 17:51:13,"The #young# girl held a cute flower in her *right* (*{右}*)  hand."
224,草,"grass",0,2024-03-18 17:52:11,"#Grass# grows *earlier* (*{早}*) than *flowers* (*{艹}*)."
225,苦,"suffering",0,2024-03-18 17:52:39,"*Flowers* (*{艹}*) for the *old* (*{古}*) man #suffering# in the hospital."
226,寛,"tolerant",0,2024-03-19 17:44:00,"A #tolerant# person will ignore *see*ing (*{見}*) *grass* (*{艹}*) in the *house* (*{宀}*)."
227,薄,"dilute",0,2020-10-27 16:37:41,"A *Dr.* (*{博}*) missing his needle can only use dilute *flower* (*{艹}*) *water* (*{氵}*) for medicine."
